sija;hinta_sis_alv;hinta_alv0;urakkasumma_alv0;materiaalit_osto_alv0;materiaalit_alv0;laudoitus;raystas;homeenesto;maalinpoisto;pohjamaalaus;varinvaihto;maasto;korkeus;seinapinta_m2;maalit_l;tyo_h;kesto_pv
227;5914,94;4713,10;2043,72;611,10;458,32;Panelointi;Umpiräystäs;kyllä;Vaikea, 4 seinää;Ei pohjamaalausta;ei;Lievä rinne;Keskitaso;174,50;36,54;64,75;4,05
228;5916,14;4714,06;2007,92;659,62;494,72;Lomalaudoitus;Umpiräystäs;ei;Vaikea, 4 seinää;Ei pohjamaalausta;ei;Tasainen;Keskitaso;218,13;43,39;63,62;3,98
229;5917,80;4715,38;2014,75;651,61;488,71;Panelointi;Umpiräystäs;ei;Helppo, 4 seinää;Pohjamaalaus, 2 seinää;ei;Tasainen;Korkea;174,50;44,37;63,83;3,99
230;5917,80;4715,38;2014,75;651,61;488,71;Panelointi;Umpiräystäs;ei;Helppo, 4 seinää;Pohjamaalaus, 2 seinää;ei;Lievä rinne;Keskitaso;174,50;44,37;63,83;3,99
231;5924,05;4720,36;2016,30;653,66;490,24;Rimalaudoitus;Umpiräystäs;kyllä;Vaikea, 2 seinää;Pohjamaalaus, 2 seinää;ei;Tasainen;Keskitaso;187,59;47,02;63,88;3,99
232;5924,29;4720,55;1987,89;691,69;518,77;Rimalaudoitus;Avoräystäs;ei;Helppo, 4 seinää;Pohjamaalaus, 2 seinää;ei;Tasainen;Keskitaso;187,59;48,17;62,98;3,94
233;5924,96;4721,08;2067,37;586,17;439,63;Panelointi;Umpiräystäs;kyllä;Vaikea, 2 seinää;Ei pohjamaalausta;ei;Lievä rinne;Korkea;174,50;36,54;65,50;4,09
234;5930,27;4725,31;2053,72;607,86;455,89;Rimalaudoitus;Umpiräystäs;ei;Vaikea, 2 seinää;Ei pohjamaalausta;ei;Haastava;Keskitaso;187,59;38,59;65,07;4,07
235;5937,81;4731,33;2073,71;586,17;439,63;Panelointi;Umpiräystäs;kyllä;Helppo, 2 seinää;Ei pohjamaalausta;ei;Haastava;Keskitaso;174,50;36,54;65,70;4,11
236;5940,38;4733,37;2040,79;631,75;473,81;Panelointi;Umpiräystäs;ei;Ei maalinpoistoa;Pohjamaalaus, 2 seinää;ei;Haastava;Keskitaso;174,50;44,37;64,66;4,04
